status,type,origin,destination,trip_sub1,url,error
PASS,flight,New York,Dubai,guide_new_york_dubai_flights,"https://sg.trip.com/flights/New%20York-to-Dubai/tickets-NYC-DXB?flighttype=S&dcity=NYC&acity=DXB&Allianceid=10173661&SID=328960094&trip_sub1=guide_new_york_dubai_flights&trip_sub3=D19382883",""
PASS,flight,New York,Cancun,guide_new_york_cancun_flights,"https://sg.trip.com/flights/New%20York-to-Cancun/tickets-NYC-CUN?flighttype=S&dcity=NYC&acity=CUN&Allianceid=10173661&SID=328960094&trip_sub1=guide_new_york_cancun_flights&trip_sub3=D19382883",""
PASS,flight,Delhi,Tokyo,guide_delhi_tokyo_flights,"https://sg.trip.com/flights/New%20Delhi-to-Tokyo/tickets-DEL-TYO?flighttype=S&dcity=DEL&acity=TYO&Allianceid=10173661&SID=328960094&trip_sub1=guide_delhi_tokyo_flights&trip_sub3=D19382883",""
PASS,flight,Delhi,Bangkok,guide_delhi_bangkok_flights,"https://sg.trip.com/flights/New%20Delhi-to-Bangkok/tickets-DEL-BKK?flighttype=S&dcity=DEL&acity=BKK&Allianceid=10173661&SID=328960094&trip_sub1=guide_delhi_bangkok_flights&trip_sub3=D19382883",""
PASS,flight,Delhi,Paris,guide_delhi_paris_flights,"https://sg.trip.com/flights/New%20Delhi-to-Paris/tickets-DEL-PAR?flighttype=S&dcity=DEL&acity=PAR&Allianceid=10173661&SID=328960094&trip_sub1=guide_delhi_paris_flights&trip_sub3=D19382883",""
PASS,flight,Delhi,Rome,guide_delhi_rome_flights,"https://sg.trip.com/flights/New%20Delhi-to-Rome/tickets-DEL-ROM?flighttype=S&dcity=DEL&acity=ROM&Allianceid=10173661&SID=328960094&trip_sub1=guide_delhi_rome_flights&trip_sub3=D19382883",""
PASS,flight,Delhi,Bali,guide_delhi_bali_flights,"https://sg.trip.com/flights/New%20Delhi-to-Bali/tickets-DEL-DPS?flighttype=S&dcity=DEL&acity=DPS&Allianceid=10173661&SID=328960094&trip_sub1=guide_delhi_bali_flights&trip_sub3=D19382883",""
PASS,flight,Delhi,Singapore,guide_delhi_singapore_flights,"https://sg.trip.com/flights/New%20Delhi-to-Singapore/tickets-DEL-SIN?flighttype=S&dcity=DEL&acity=SIN&Allianceid=10173661&SID=328960094&trip_sub1=guide_delhi_singapore_flights&trip_sub3=D19382883",""
PASS,flight,Delhi,Seoul,guide_delhi_seoul_flights,"https://sg.trip.com/flights/New%20Delhi-to-Seoul/tickets-DEL-SEL?flighttype=S&dcity=DEL&acity=SEL&Allianceid=10173661&SID=328960094&trip_sub1=guide_delhi_seoul_flights&trip_sub3=D19382939",""
PASS,flight,Delhi,Dubai,guide_delhi_dubai_flights,"https://sg.trip.com/flights/New%20Delhi-to-Dubai/tickets-DEL-DXB?flighttype=S&dcity=DEL&acity=DXB&Allianceid=10173661&SID=328960094&trip_sub1=guide_delhi_dubai_flights&trip_sub3=D19382939",""
PASS,flight,Delhi,Cancun,guide_delhi_cancun_flights,"https://sg.trip.com/flights/New%20Delhi-to-Cancun/tickets-DEL-CUN?flighttype=S&dcity=DEL&acity=CUN&Allianceid=10173661&SID=328960094&trip_sub1=guide_delhi_cancun_flights&trip_sub3=D19382939",""
PASS,flight,Singapore,Tokyo,guide_singapore_tokyo_flights,"https://sg.trip.com/flights/Singapore-to-Tokyo/tickets-SIN-TYO?flighttype=S&dcity=SIN&acity=TYO&Allianceid=10173661&SID=328960094&trip_sub1=guide_singapore_tokyo_flights&trip_sub3=D19382939",""
PASS,flight,Singapore,Bangkok,guide_singapore_bangkok_flights,"https://sg.trip.com/flights/Singapore-to-Bangkok/tickets-SIN-BKK?flighttype=S&dcity=SIN&acity=BKK&Allianceid=10173661&SID=328960094&trip_sub1=guide_singapore_bangkok_flights&trip_sub3=D19382939",""
PASS,flight,Singapore,Paris,guide_singapore_paris_flights,"https://sg.trip.com/flights/Singapore-to-Paris/tickets-SIN-PAR?flighttype=S&dcity=SIN&acity=PAR&Allianceid=10173661&SID=328960094&trip_sub1=guide_singapore_paris_flights&trip_sub3=D19382939",""
PASS,flight,Singapore,Rome,guide_singapore_rome_flights,"https://sg.trip.com/flights/Singapore-to-Rome/tickets-SIN-ROM?flighttype=S&dcity=SIN&acity=ROM&Allianceid=10173661&SID=328960094&trip_sub1=guide_singapore_rome_flights&trip_sub3=D19382939",""
PASS,flight,Singapore,Bali,guide_singapore_bali_flights,"https://sg.trip.com/flights/Singapore-to-Bali/tickets-SIN-DPS?flighttype=S&dcity=SIN&acity=DPS&Allianceid=10173661&SID=328960094&trip_sub1=guide_singapore_bali_flights&trip_sub3=D19382939",""
PASS,flight,Singapore,Seoul,guide_singapore_seoul_flights,"https://sg.trip.com/flights/Singapore-to-Seoul/tickets-SIN-SEL?flighttype=S&dcity=SIN&acity=SEL&Allianceid=10173661&SID=328960094&trip_sub1=guide_singapore_seoul_flights&trip_sub3=D19382939",""
PASS,flight,Singapore,Dubai,guide_singapore_dubai_flights,"https://sg.trip.com/flights/Singapore-to-Dubai/tickets-SIN-DXB?flighttype=S&dcity=SIN&acity=DXB&Allianceid=10173661&SID=328960094&trip_sub1=guide_singapore_dubai_flights&trip_sub3=D19382939",""
PASS,flight,Singapore,Cancun,guide_singapore_cancun_flights,"https://sg.trip.com/flights/Singapore-to-Cancun/tickets-SIN-CUN?flighttype=S&dcity=SIN&acity=CUN&Allianceid=10173661&SID=328960094&trip_sub1=guide_singapore_cancun_flights&trip_sub3=D19382939",""
